"Activity ID","Source Issue","Phase","Gate","Type","Execution","Agent Role","Goal","Deliverables","Predecessors","Acceptance IDs","Status","Owner Role","Reviewer Role","Priority References"
"ACT-SP-010-01","SP-010","P01","G1","Acceptance rollup","Human","","Check every child plus the original source outcome: Both modes; work/rest versus manual pause semantics; interruption gaps; timer source; local finalization/recovery; microphone/camera controls; device backup/export/lock/key behavior; no claim of guaranteed capture through all OS interruptions","Integration/evidence checklist and actual Mobile lead decision for SP-010","ACT-SP-001-02, ACT-SP-008-01, ACT-SP-080-03","AC-SP-010-01, AC-SP-010-02, AC-SP-010-03, AC-SP-010-04, AC-SP-010-05, AC-SP-010-06, AC-SP-010-07, AC-SP-010-08","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-011-01","SP-011","P01","G1","Specification","Agent","Media agent","Define opt-in, copy states, allowances, retention start points, expiry and accurate withdrawal/deletion notices","Cloud lifecycle state table and user-visible copy-state specification","ACT-SP-001-02, ACT-SP-008-01","AC-SP-011-01, AC-SP-011-02, AC-SP-011-03, AC-SP-011-04, AC-SP-011-05, AC-SP-011-06, AC-SP-011-07, AC-SP-011-08","Backlog","Backend lead/product owner","Mobile lead / device QA",""
"ACT-SP-011-02","SP-011","P01","G1","Specification","Agent","Media agent","Define reservations, short-lived access, fragment cleanup, offline suppression and deletion replay after restore","API invariants and quota/delete/restore race fixtures","ACT-SP-011-01","AC-SP-011-01, AC-SP-011-02, AC-SP-011-03, AC-SP-011-04, AC-SP-011-05, AC-SP-011-06, AC-SP-011-07, AC-SP-011-08","Backlog","Backend lead/product owner","Mobile lead / device QA",""
"ACT-SP-011-03","SP-011","P01","G1","Verification and handoff","Agent","QA / Media agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-011 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-011-02","AC-SP-011-01, AC-SP-011-02, AC-SP-011-03, AC-SP-011-04, AC-SP-011-05, AC-SP-011-06, AC-SP-011-07, AC-SP-011-08","Backlog","Backend lead/product owner","Mobile lead / device QA",""
"ACT-SP-012-01","SP-012","P02","G2","Delivery activity","Agent","Operations agent","Resolve actual remote/base, protected branch, review identities and isolated development/staging scopes","Repository/environment configuration record and scoped identity inventory","ACT-SP-003-03, ACT-SP-008-01, ACT-SP-009-02","AC-SP-012-01, AC-SP-012-02, AC-SP-012-03, AC-SP-012-04, AC-SP-012-05, AC-SP-012-06, AC-SP-012-07, AC-SP-012-08","Backlog","Technical lead","Operator / security reviewer",""
"ACT-SP-012-02","SP-012","P02","G2","Delivery activity","Agent","Operations agent","Add current-commit CI checks and secret restrictions; exercise a harmless failed change through review","CI configuration plus success/failure evidence for the same candidate","ACT-SP-012-01","AC-SP-012-01, AC-SP-012-02, AC-SP-012-03, AC-SP-012-04, AC-SP-012-05, AC-SP-012-06, AC-SP-012-07, AC-SP-012-08","Backlog","Technical lead","Operator / security reviewer",""
"ACT-SP-012-03","SP-012","P02","G2","Verification and handoff","Agent","QA / Operations agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Operator / security reviewer.","SP-012 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-012-02","AC-SP-012-01, AC-SP-012-02, AC-SP-012-03, AC-SP-012-04, AC-SP-012-05, AC-SP-012-06, AC-SP-012-07, AC-SP-012-08","Backlog","Technical lead","Operator / security reviewer",""
"ACT-SP-013-01","SP-013","P02","G2","Acceptance rollup","Human","","Check every child plus the original source outcome: Correct repo/environment; one actual run; status links; bounded cost; reviewed artifact; cancellation and injected-instruction handling; no ability to self-approve or change protection; record native integration limitations","Integration/evidence checklist and actual Agent workflow owner decision for SP-013","ACT-SP-002-03, ACT-SP-003-03, ACT-SP-012-03, ACT-SP-146-03","AC-SP-013-01, AC-SP-013-02, AC-SP-013-03, AC-SP-013-04, AC-SP-013-05, AC-SP-013-06, AC-SP-013-07, AC-SP-013-08","Backlog","Agent workflow owner","Delivery owner",""
"ACT-SP-014-01","SP-014","P03","G2","Delivery activity","Agent","Media agent","Combine camera preview, local demonstration, countdown, cues and capture-confirmed work timing using adult/synthetic footage","Disposable feasibility harness and fixed measurement fixtures","ACT-SP-010-01, ACT-SP-012-03, ACT-SP-013-01, ACT-SP-126-02","AC-SP-014-01, AC-SP-014-02, AC-SP-014-03","Backlog","Mobile lead/device QA","Mobile lead / device QA",""
"ACT-SP-014-02","SP-014","P03","G2","Delivery activity","Agent","Media agent","Run the approved SP-126 cases on representative iOS/Android devices and inspect durable playable clips","Per-device frame/timing/save measurements and supported-limit findings","ACT-SP-014-01","AC-SP-014-01, AC-SP-014-02, AC-SP-014-03","Backlog","Mobile lead/device QA","Mobile lead / device QA",""
"ACT-SP-014-03","SP-014","P03","G2","Verification and handoff","Agent","QA / Media agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-014 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-014-02","AC-SP-014-01, AC-SP-014-02, AC-SP-014-03","Backlog","Mobile lead/device QA","Mobile lead / device QA",""
"ACT-SP-015-01","SP-015","P03","G2","Delivery activity","Agent","Media agent","Capture work plus programmed rests and map source chapters, pauses and gaps without duplicating the video","Full-session prototype and chapter/part schema","ACT-SP-014-03","AC-SP-015-01, AC-SP-015-02, AC-SP-015-03, AC-SP-015-04, AC-SP-015-05","Backlog","Mobile lead/device QA","Mobile lead / device QA",""
"ACT-SP-015-02","SP-015","P03","G2","Delivery activity","Agent","Media agent","Exercise the approved duration envelope, seek every chapter and inspect manual pause/resume results","Named-device recordings, source-offset checks and duration/resource observations","ACT-SP-015-01","AC-SP-015-01, AC-SP-015-02, AC-SP-015-03, AC-SP-015-04, AC-SP-015-05","Backlog","Mobile lead/device QA","Mobile lead / device QA",""
"ACT-SP-015-03","SP-015","P03","G2","Verification and handoff","Agent","QA / Media agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-015 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-015-02","AC-SP-015-01, AC-SP-015-02, AC-SP-015-03, AC-SP-015-04, AC-SP-015-05","Backlog","Mobile lead/device QA","Mobile lead / device QA",""
"ACT-SP-016-01","SP-016","P03","G2","Delivery activity","Agent","QA agent","Run denied permission, background/lock, calls, low space and termination cases against the feasibility builds","Interruption matrix with observed file and UI states","ACT-SP-014-03, ACT-SP-015-03","AC-SP-016-01, AC-SP-016-02, AC-SP-016-03, AC-SP-016-04","Backlog","Device QA/mobile lead","Independent QA",""
"ACT-SP-016-02","SP-016","P03","G2","Delivery activity","Agent","QA agent","Inspect thermal/battery behavior and discover finalized parts after interruption; propose supported fallback/exclusion","Recovery evidence and supported-device floor proposal","ACT-SP-016-01","AC-SP-016-01, AC-SP-016-02, AC-SP-016-03, AC-SP-016-04","Backlog","Device QA/mobile lead","Independent QA",""
"ACT-SP-016-03","SP-016","P03","G2","Verification and handoff","Agent","QA / QA agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Independent QA.","SP-016 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-016-02","AC-SP-016-01, AC-SP-016-02, AC-SP-016-03, AC-SP-016-04","Backlog","Device QA/mobile lead","Independent QA",""
"ACT-SP-017-01","SP-017","P03","G2","Delivery activity","Agent","Media agent","Upload only locally saved adult/synthetic media through scoped reservation, quarantine and explicit consent","One end-to-end prototype cloud path with copy-state transitions","ACT-SP-008-01, ACT-SP-011-03, ACT-SP-012-03, ACT-SP-014-03","AC-SP-017-01, AC-SP-017-02, AC-SP-017-03, AC-SP-017-04, AC-SP-017-05, AC-SP-017-06","Backlog","Backend lead","Mobile lead / device QA",""
"ACT-SP-017-02","SP-017","P03","G2","Delivery activity","Agent","Media agent","Retry interrupted upload, exceed quota, request from another household and race withdrawal/deletion against finalize","Reproducible denial/retry cases and measured access lifetime","ACT-SP-017-01","AC-SP-017-01, AC-SP-017-02, AC-SP-017-03, AC-SP-017-04, AC-SP-017-05, AC-SP-017-06","Backlog","Backend lead","Mobile lead / device QA",""
"ACT-SP-017-03","SP-017","P03","G2","Verification and handoff","Agent","QA / Media agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-017 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-017-02","AC-SP-017-01, AC-SP-017-02, AC-SP-017-03, AC-SP-017-04, AC-SP-017-05, AC-SP-017-06","Backlog","Backend lead","Mobile lead / device QA",""
"ACT-SP-018-01","SP-018","P03","G2","Acceptance rollup","Human","","Check every child plus the original source outcome: Media and scoped database evidence, device limits, animation/admin workload and full club/family architecture; revised engineering/content/cloud/recovery estimate supersedes family-only range; no invented supplier quote","Integration/evidence checklist and actual Founder/technical lead decision for SP-018","ACT-SP-006-02, ACT-SP-009-02, ACT-SP-013-01, ACT-SP-014-03, ACT-SP-015-03, ACT-SP-016-03, ACT-SP-017-03, ACT-SP-037-03, ACT-SP-038-03, ACT-SP-039-03, ACT-SP-051-03, ACT-SP-052-03, ACT-SP-064-02, ACT-SP-065-03, ACT-SP-081-03, ACT-SP-126-02","AC-SP-018-01, AC-SP-018-02, AC-SP-018-03","Backlog","Founder/technical lead","Delivery owner",""
"ACT-SP-019-01","SP-019","P05","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Approved variants searchable by ability/program/position; downloaded demo/caption/version manifest; accurate prerequisites; content publication/withdrawal process; role exploration does not force early specialization","Integration/evidence checklist and actual Content owner/mobile lead decision for SP-019","ACT-SP-005-02, ACT-SP-006-02, ACT-SP-007-01, ACT-SP-018-01, ACT-SP-086-03, ACT-SP-096-03, ACT-SP-097-03, ACT-SP-114-03, ACT-SP-125-02, ACT-SP-156-03, ACT-SP-157-03","AC-SP-019-01, AC-SP-019-02, AC-SP-019-03, AC-SP-019-04, AC-SP-019-05","Backlog","Content owner/mobile lead","Qualified coach",""
"ACT-SP-020-01","SP-020","P05","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Session coordination, visible actual recording state, pause/stop, chaptered review, no-camera practice, offline use and local recovery meet SP-010 on supported devices; repeats/parts not mislabeled","Integration/evidence checklist and actual Mobile lead decision for SP-020","ACT-SP-018-01, ACT-SP-019-01, ACT-SP-078-03, ACT-SP-082-03, ACT-SP-090-03, ACT-SP-092-03, ACT-SP-093-03, ACT-SP-094-03, ACT-SP-095-03, ACT-SP-098-03, ACT-SP-163-03","AC-SP-020-01, AC-SP-020-02","Backlog","Mobile lead","Mobile lead / device QA",""
"ACT-SP-021-01","SP-021","P04","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Server-enforced parent/adult management, separate permissions/consents, current membership at sync, safe account recovery, revocation and age-18 transition; child can stop recording immediately","Integration/evidence checklist and actual Backend/mobile leads decision for SP-021","ACT-SP-007-01, ACT-SP-008-01, ACT-SP-009-02, ACT-SP-010-01, ACT-SP-011-03, ACT-SP-018-01, ACT-SP-099-03","AC-SP-021-01, AC-SP-021-02","Backlog","Backend/mobile leads","Independent security reviewer",""
"ACT-SP-022-01","SP-022","P04","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Deny unrelated household and ungranted club/coach access for metadata/media/export/delete; tampered IDs and bulk/list routes; current membership and documented token/link lifetime; coordinate final club coverage with SP-045","Integration/evidence checklist and actual Independent security reviewer/technical lead decision for SP-022","ACT-SP-008-01, ACT-SP-021-01, ACT-SP-023-01, ACT-SP-040-01, ACT-SP-044-01, ACT-SP-088-03","AC-SP-022-01, AC-SP-022-02, AC-SP-022-03, AC-SP-022-04","Backlog","Independent security reviewer/technical lead","Independent security reviewer",""
"ACT-SP-023-01","SP-023","P07","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Resumable upload, server quota reservation/finalize, size/type limits, retry/orphan cleanup, rate limits, expiry dates, opt-in and Wi-Fi defaults; full quota keeps local copy; Backed up means verified completion","Integration/evidence checklist and actual Backend lead decision for SP-023","ACT-SP-011-03, ACT-SP-017-03, ACT-SP-021-01, ACT-SP-087-03, ACT-SP-106-03, ACT-SP-108-03","AC-SP-023-01, AC-SP-023-02, AC-SP-023-03","Backlog","Backend lead","Mobile lead / device QA",""
"ACT-SP-024-01","SP-024","P07","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Device/cloud/everywhere actions; parts/thumbnails/queues covered; withdrawal, family removal, concurrent upload and offline reconnect cannot resurrect deleted media; remaining access/download limits clearly stated","Integration/evidence checklist and actual Backend/mobile leads with security review decision for SP-024","ACT-SP-020-01, ACT-SP-021-01, ACT-SP-023-01, ACT-SP-109-03","AC-SP-024-01, AC-SP-024-02, AC-SP-024-03, AC-SP-024-04","Backlog","Backend/mobile leads with security review","Mobile lead / device QA",""
"ACT-SP-025-01","SP-025","P07","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Restore synthetic family/club records, plan versions and videos; replay deletions/revoked permissions; measure recovery point/time, retention and cost; notices match proven scope","Integration/evidence checklist and actual Operator/backend lead decision for SP-025","ACT-SP-011-03, ACT-SP-023-01, ACT-SP-024-01, ACT-SP-040-01, ACT-SP-042-01, ACT-SP-110-03","AC-SP-025-01, AC-SP-025-02, AC-SP-025-03, AC-SP-025-04","Backlog","Operator/backend lead","Operator / security reviewer",""
"ACT-SP-026-01","SP-026","P08","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Mobile/admin/API coverage, targeted Dart and admin-source review, secret/dependency/native scans, backup/log inspection; S01–S27 and applicable R01–R20 release blockers resolved with current-build evidence","Integration/evidence checklist and actual Security reviewer/technical lead decision for SP-026","ACT-SP-020-01, ACT-SP-021-01, ACT-SP-022-01, ACT-SP-023-01, ACT-SP-024-01, ACT-SP-025-01, ACT-SP-045-03, ACT-SP-053-01, ACT-SP-055-01, ACT-SP-066-01, ACT-SP-067-01, ACT-SP-068-01, ACT-SP-069-01, ACT-SP-070-01, ACT-SP-083-03, ACT-SP-127-03","AC-SP-026-01, AC-SP-026-02","Backlog","Security reviewer/technical lead","Independent security reviewer",""
"ACT-SP-027-01","SP-027","P07","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Redacted alerts with owners for recording/cloud/role/plan/export/deletion/cost health; disclosure, club offboarding, content, credential and spending rehearsals; support and offline limits","Integration/evidence checklist and actual Operator/founder decision for SP-027","ACT-SP-019-01, ACT-SP-020-01, ACT-SP-021-01, ACT-SP-022-01, ACT-SP-023-01, ACT-SP-024-01, ACT-SP-025-01, ACT-SP-040-01, ACT-SP-041-01, ACT-SP-042-01, ACT-SP-043-01, ACT-SP-044-01, ACT-SP-118-03, ACT-SP-119-03, ACT-SP-124-03, ACT-SP-164-03","AC-SP-027-01, AC-SP-027-02, AC-SP-027-03","Backlog","Operator/founder","Operator / security reviewer",""
"ACT-SP-028-01","SP-028","P08","G3","Decision preparation","Agent","Delivery / analysis agent","Assemble source evidence, options, gaps and the decision needed for: Exact club/family build, content, tested database, supported devices, coach approvals, current security evidence, consent/recruitment, recovery/support and metrics accepted by accountable humans","Review-ready SP-028 packet with source versions, open decisions and acceptance checklist","ACT-SP-004-01, ACT-SP-005-02, ACT-SP-006-02, ACT-SP-007-01, ACT-SP-009-02, ACT-SP-020-01, ACT-SP-021-01, ACT-SP-022-01, ACT-SP-023-01, ACT-SP-024-01, ACT-SP-025-01, ACT-SP-026-01, ACT-SP-027-01, ACT-SP-040-01, ACT-SP-041-01, ACT-SP-042-01, ACT-SP-043-01, ACT-SP-044-01, ACT-SP-045-03, ACT-SP-053-01, ACT-SP-055-01, ACT-SP-071-01, ACT-SP-082-03, ACT-SP-083-03, ACT-SP-130-03, ACT-SP-165-03","AC-SP-028-01","Backlog","Founder, coach and technical lead","Founder / release owner",""
"ACT-SP-028-02","SP-028","P08","G3","Gate decision","Human","","The accountable Founder, coach and technical lead supplies missing decisions and approves the specific outcome: Accept pilot readiness. Resolve any specialist sign-off with the actual specialist; preserve the original acceptance below. Confirm the outcome against the original source acceptance; record approve/revise/stop with actual evidence.","Dated SP-028 decision and any actual specialist/participant work required by its scope","ACT-SP-028-01","AC-SP-028-01","Backlog","Founder, coach and technical lead","Founder / release owner",""
"ACT-SP-029-01","SP-029","P09","G4","Acceptance rollup","Human","","Check every child plus the original source outcome: Participant experience sampled across intended age bands and assistance levels; adult participants use adult consent; separate research/media permissions; identifiable notes minimized; failures and support requests documented securely","Integration/evidence checklist and actual Research owner/founder decision for SP-029","ACT-SP-028-02, ACT-SP-137-02","AC-SP-029-01, AC-SP-029-02, AC-SP-029-03, AC-SP-029-04, AC-SP-029-05","Backlog","Research owner/founder","Research owner / safeguarding lead",""
"ACT-SP-030-01","SP-030","P09","G4","Acceptance rollup","Human","","Check every child plus the original source outcome: Family and club results against pre-agreed measures, with age/role denominators and limitations; resolve critical findings or explicitly decide staged route availability; estimates/backlog updated","Integration/evidence checklist and actual Founder/coach/technical lead decision for SP-030","ACT-SP-029-01, ACT-SP-046-01, ACT-SP-057-01, ACT-SP-140-03","AC-SP-030-01, AC-SP-030-02, AC-SP-030-03","Backlog","Founder/coach/technical lead","Founder / specialist",""
"ACT-SP-031-01","SP-031","P10","G5","Decision preparation","Agent","Delivery / analysis agent","Assemble source evidence, options, gaps and the decision needed for: Store/payment approach reviewed for audience; server-verifiable entitlements; replay/refund/restore/cancellation behavior; usage allowances and spend controls; billed account does not automatically gain video access","Review-ready SP-031 packet with source versions, open decisions and acceptance checklist","ACT-SP-030-01, ACT-SP-054-01","AC-SP-031-01, AC-SP-031-02, AC-SP-031-03, AC-SP-031-04, AC-SP-031-05","Backlog","Product/backend leads","Billing / security reviewer",""
"ACT-SP-031-02","SP-031","P10","G5","Gate decision","Human","","The accountable Product/backend leads supplies missing decisions and approves the specific outcome: Accept commercial subscription readiness. Resolve any specialist sign-off with the actual specialist; preserve the original acceptance below. Confirm the outcome against the original source acceptance; record approve/revise/stop with actual evidence.","Dated SP-031 decision and any actual specialist/participant work required by its scope","ACT-SP-031-01","AC-SP-031-01, AC-SP-031-02, AC-SP-031-03, AC-SP-031-04, AC-SP-031-05","Backlog","Product/backend leads","Billing / security reviewer",""
"ACT-SP-032-01","SP-032","P10","G5","Acceptance rollup","Human","","Check every child plus the original source outcome: Audience, permissions, SDK inventory, notices, data deletion, support, account transition and cloud claims match current build and first market; latest policy review recorded","Integration/evidence checklist and actual Founder/privacy adviser decision for SP-032","ACT-SP-030-01, ACT-SP-031-02, ACT-SP-054-01, ACT-SP-072-01, ACT-SP-134-02","AC-SP-032-01, AC-SP-032-02","Backlog","Founder/privacy adviser","Founder / release owner",""
"ACT-SP-033-01","SP-033","P10","G5","Acceptance rollup","Human","","Check every child plus the original source outcome: Exact signed build/config/content package; human-controlled publication; staged rollout, compatibility, incident containment and restore rehearsed; alert ownership and store-update limitations documented","Integration/evidence checklist and actual Release owner/operator decision for SP-033","ACT-SP-025-01, ACT-SP-026-01, ACT-SP-027-01, ACT-SP-030-01, ACT-SP-032-01, ACT-SP-135-03","AC-SP-033-01, AC-SP-033-02, AC-SP-033-03, AC-SP-033-04","Backlog","Release owner/operator","Founder / release owner",""
